Sale_ID,Customer_ID,Car_ID,Sale_Date,Quantity, Sale_Price ,Payment_Method,Salesperson
S00001,CU1241,C0214,28-03-2025,3," $73,293 ",Installment,Ashley Ramos
S00002,CU0100,C0202,12-02-2024,3," $32,681 ",Cash,Pamela Blair
S00003,CU1690,C0228,26-02-2023,2," $53,531 ",Credit,Sergio Lee
S00004,CU0534,C0231,21-06-2024,1," $89,817 ",Cash,Mary Johnston
S00005,CU1153,C0071,21-12-2023,2," $77,591 ",Installment,Ricardo Garcia
S00006,CU0878,C0319,26-06-2025,2," $79,567 ",Cash,Chelsea Gonzalez
S00007,CU1113,C0102,08-07-2025,2," $65,470 ",Credit,Carol Lopez
S00008,CU1144,C0041,16-02-2025,3," $98,437 ",Cash,Alexa Edwards
S00009,CU0134,C0191,26-12-2024,1," $79,283 ",Installment,Joe Goodwin
S00010,CU1380,C0413,01-02-2025,3," $59,005 ",Installment,Chase Harrison
S00011,CU1361,C0014,14-02-2023,2," $60,688 ",Credit,Molly Charles
S00012,CU1155,C0163,18-08-2025,3," $60,038 ",Cash,John Kemp
S00013,CU1392,C0302,23-03-2023,3," $46,669 ",Installment,Brian Austin
S00014,CU1229,C0451,28-12-2022,1," $34,808 ",Credit,Ronald Harmon
S00015,CU0436,C0176,22-02-2024,3," $18,527 ",Credit,Dr. Lee Davis PhD
S00016,CU1355,C0324,14-08-2025,1," $15,500 ",Installment,Michael Hernandez
S00017,CU1241,C0386,23-05-2025,2," $63,125 ",Credit,Jon King
S00018,CU1280,C0260,10-04-2023,2," $55,074 ",Cash,Jonathan Woods
S00019,CU1102,C0165,30-04-2025,3," $66,403 ",Credit,Margaret Jones
S00020,CU1017,C0343,27-05-2025,2," $66,795 ",Cash,Erika Atkinson
S00021,CU0845,C0050,15-06-2025,3," $34,195 ",Installment,Kevin Howard
S00022,CU0145,C0276,06-10-2025,3," $82,651 ",Installment,Daniel Olson
S00023,CU1526,C0280,13-07-2023,3," $30,023 ",Credit,Joel Martinez
S00024,CU1117,C0208,25-07-2025,2," $90,218 ",Cash,Lisa Johnson
S00025,CU0813,C0447,13-12-2023,3," $20,707 ",Cash,Brittany Anderson
S00026,CU0761,C0335,05-03-2025,3," $26,312 ",Installment,Billy Baird
S00027,CU0318,C0157,26-02-2025,1," $78,873 ",Installment,Bradley Smith
S00028,CU1026,C0101,11-01-2025,2," $41,063 ",Installment,James Webb
S00029,CU0521,C0173,04-09-2024,1," $91,987 ",Cash,Deborah Sullivan
S00030,CU0926,C0235,30-10-2024,2," $16,920 ",Cash,Ashley Hogan
S00031,CU1198,C0231,16-11-2023,2," $23,321 ",Credit,Jason Ortiz
S00032,CU1031,C0148,11-03-2025,1," $88,622 ",Credit,Alexis Rodriguez
S00033,CU0650,C0003,19-10-2023,2," $61,079 ",Cash,Scott Anderson
S00034,CU0536,C0337,26-04-2025,3," $85,287 ",Credit,John Liu
S00035,CU1251,C0476,21-06-2024,1," $46,382 ",Installment,Maureen Sims
S00036,CU0138,C0359,06-02-2025,2," $24,595 ",Installment,Elizabeth Gomez
S00037,CU1936,C0466,02-08-2023,2," $58,240 ",Cash,Clarence Shaw
S00038,CU1142,C0196,24-06-2024,1," $28,601 ",Credit,Lisa Scott
S00039,CU1936,C0482,19-03-2025,3," $86,246 ",Installment,Molly Olson
